"site","colony.id","depth.below","height.above","habitat","temp","species","fvfm.avg","range","se","water.column"
"Hilton","HH35",77,54,"sheltered","36","Hyacinthus",0.396,0.051,0.0106484218966422,131
"Hilton","HH36",55,90,"exposed","29","Hyacinthus",0.657916666666667,0.0146666666666666,0.00409239357652525,145
"Hilton","HH36",55,90,"exposed","36","Hyacinthus",0.684666666666667,0.0586666666666666,0.0130667800448596,145
"Hilton","HH37",95,54,"sheltered","29","Hyacinthus",0.689083333333333,0.018,0.00395665168957195,149
"Hilton","HH37",95,54,"sheltered","36","Hyacinthus",0.297166666666667,0.269666666666667,0.0611316884547886,149
"Hilton","HH38",59,91,"open","36","Hyacinthus",0.47225,0.0556666666666667,0.0118050326681588,150
"Hilton","HH38",59,91,"open","29","Hyacinthus",0.689583333333333,0.0233333333333333,0.00513227803005426,150
"Hilton","HH39",93,30,"overhang","36","Hyacinthus",0.262166666666667,0.0793333333333333,0.0188313666623103,123
"Hilton","HH39",93,30,"overhang","29","Hyacinthus",0.690333333333333,0.0323333333333334,0.00737739289491391,123
"Hilton","HH40",79,74,"overhang","29","Hyacinthus",0.6865,0.0296666666666667,0.0062487035692451,153
"Hilton","HH40",79,74,"overhang","36","Hyacinthus",0.340583333333333,0.135666666666667,0.0289067386094841,153
"Hilton","HH41",38,107,"open","29","Hyacinthus",0.666,0.0396666666666666,0.00836106496849577,145
"Hilton","HH41",38,107,"open","36","Hyacinthus",0.302666666666667,0.0673333333333334,0.0157409586041568,145
"Hilton","HH42",16,123,"open","36","Hyacinthus",0.397416666666667,0.056,0.0126691335317158,139
"Hilton","HH42",16,123,"open","29","Hyacinthus",0.682333333333333,0.0346666666666666,0.0078220959585769,139
"Hilton","HH43",17,130,"other","36","Hyacinthus",0.382166666666667,0.207,0.048239852128021,147
"Hilton","HH43",17,130,"other","29","Hyacinthus",0.646083333333333,0.0396666666666666,0.00898184898064486,147
"Hilton","HH44",41,82,"open","29","Hyacinthus",0.682,0.0563333333333332,0.0115478072313254,123
"Hilton","HH44",41,82,"open","36","Hyacinthus",0.391833333333333,0.177666666666667,0.0377571430573322,123
"Hilton","HH45",76,54,"open","29","Hyacinthus",0.662583333333333,0.0743333333333334,0.0169756770442628,130
"Hilton","HH45",76,54,"open","36","Hyacinthus",0.525916666666667,0.139666666666667,0.0308296919771737,130
"Hilton","HH46",117,28,"overhang","29","Hyacinthus",0.685166666666667,0.0183333333333333,0.00406087930634988,145
"Hilton","HH46",117,28,"overhang","36","Hyacinthus",0.276083333333333,0.0313333333333333,0.00741791500106081,145
"Hilton","HH47",87,55,"sheltered","29","Hyacinthus",0.6515,0.0976666666666666,0.0224237390743398,142
"Hilton","HH47",87,55,"sheltered","36","Hyacinthus",0.49775,0.248,0.0597431810768826,142
"Hilton","HH48",77,64,"other","29","Hyacinthus",0.6615,0.0443333333333333,0.00991304789247578,141
"Hilton","HH48",77,64,"other","36","Hyacinthus",0.190916666666667,0.100666666666667,0.0243304317143656,141
"Hilton","HH49",66,71,"crevice","29","Hyacinthus",0.662333333333333,0.032,0.00740495329717436,137
"Hilton","HH49",66,71,"crevice","36","Hyacinthus",0.347416666666667,0.113,0.0257920368847958,137
"Hilton","HH50",103,53,"other","29","Hyacinthus",0.68225,0.021,0.00446669776108581,156
"Hilton","HH50",103,53,"other","36","Hyacinthus",0.384916666666667,0.0436666666666666,0.010135539781712,156
"Hilton","HH51",76,84,"crevice","29","Hyacinthus",0.657333333333333,0.0343333333333333,0.00785163347005884,160
"Hilton","HH51",76,84,"crevice","36","Hyacinthus",0.654333333333333,0.022,0.00494787646182496,160
"Hilton","HH52",67,80,"open","36","Hyacinthus",0.457416666666667,0.122333333333333,0.0253772919052535,147
"Hilton","HH52",67,80,"open","29","Hyacinthus",0.670166666666667,0.0323333333333333,0.0073918122871789,147
"Hilton","HH53",71,77,"open","36","Hyacinthus",0.352416666666667,0.153666666666667,0.0352295054685069,148
"Hilton","HH53",71,77,"open","29","Hyacinthus",0.683583333333333,0.0116666666666667,0.00241666666666668,148
"Hilton","HH54",47,93,"open","29","Hyacinthus",0.670166666666667,0.018,0.00395694420069419,140
"Hilton","HH54",47,93,"open","36","Hyacinthus",0.416,0.100333333333333,0.0213849202667397,140
"Hilton","HH55",84,77,"overhang","29","Hyacinthus",0.67725,0.0443333333333333,0.0108979908104065,161
"Hilton","HH55",84,77,"overhang","36","Hyacinthus",0.648,0.0363333333333333,0.00822710065485924,161
"Hilton","HH56",90,53,"overhang","29","Hyacinthus",0.680833333333333,0.0196666666666667,0.00497121342963295,143
"Hilton","HH56",90,53,"overhang","36","Hyacinthus",0.477666666666667,0.128,0.0263775999245151,143
"Hilton","HH57",81,61,"crevice","29","Hyacinthus",0.698416666666667,0.0409999999999999,0.00933072880326075,142
"Hilton","HH57",81,61,"crevice","36","Hyacinthus",0.266833333333333,0.126333333333333,0.0284613122729135,142
"Hilton","HH58",40,111,"open","29","Hyacinthus",0.668416666666667,0.0396666666666667,0.00826569774787704,151
"Hilton","HH58",40,111,"open","36","Hyacinthus",0.478666666666667,0.194333333333333,0.0446730924067854,151
"Hilton","HH59",61,82,"open","29","Hyacinthus",0.715,0.0393333333333334,0.00956749899592561,143
"Hilton","HH59",61,82,"open","36","Hyacinthus",0.412916666666667,0.0586666666666666,0.0122734092278419,143
"Hilton","HH60",47,91,"open","29","Hyacinthus",0.66375,0.0269999999999999,0.00612731437756227,138
"Hilton","HH60",47,91,"open","36","Hyacinthus",0.279833333333333,0.100666666666667,0.0213009737214401,138
"Hilton","HH61",115,77,"overhang","29","Hyacinthus",0.691583333333333,0.0243333333333333,0.00564599989504204,192
"Hilton","HH61",115,77,"overhang","36","Hyacinthus",0.275,0.0543333333333333,0.0130660714150131,192
"Hilton","HH62",72,113,"open","29","Hyacinthus",0.680333333333333,0.0353333333333332,0.00744858922759747,185
"Hilton","HH62",72,113,"open","36","Hyacinthus",0.401833333333333,0.141666666666667,0.0296324709285833,185
"Hilton","HH63",133,105,"other","29","Hyacinthus",0.664,0.0213333333333333,0.00470421402889256,238
"Hilton","HH63",133,105,"other","36","Hyacinthus",0.491083333333333,0.125,0.0299649100337934,238
"Hilton","HH64",123,72,"sheltered","36","Hyacinthus",0.28975,0.18,0.0386646012379397,195
"Hilton","HH64",123,72,"sheltered","29","Hyacinthus",0.69825,0.0533333333333333,0.0131059606173567,195
"Hilton","HH65",73,105,"open","36","Hyacinthus",0.415416666666667,0.0986666666666666,0.020551369693923,178
"Hilton","HH65",73,105,"open","29","Hyacinthus",0.678083333333333,0.047,0.0100021988323309,178
"Hilton","HH66",131,78,"overhang","36","Hyacinthus",0.663833333333333,0.0156666666666666,0.00380180269131679,209
"Hilton","HH66",131,78,"overhang","29","Hyacinthus",0.670166666666667,0.0329999999999999,0.00757493429870051,209
"Hilton","HH67",93,94,"open","29","Hyacinthus",0.6795,0.0236666666666666,0.00563142637019813,187
"Hilton","HH67",93,94,"open","36","Hyacinthus",0.252083333333333,0.0126666666666666,0.00295764859055047,187
"Hilton","HH68",101,75,"overhang","36","Hyacinthus",0.177416666666667,0.0853333333333333,0.018193596248253,176
"Hilton","HH68",101,75,"overhang","29","Hyacinthus",0.686833333333333,0.0133333333333333,0.00307167465483979,176
"Hilton","HH69",96,70,"open","36","Hyacinthus",0.5605,0.114,0.0244155763882479,166
"Hilton","HH69",96,70,"open","29","Hyacinthus",0.6605,0.01,0.00225462487641145,166
"Hilton","HH70",122,154,"sheltered","36","Hyacinthus",0.268333333333333,0.0343333333333333,0.00731183718110318,276
"Hilton","HH70",122,154,"sheltered","29","Hyacinthus",0.664166666666667,0.0343333333333333,0.00730613643656,276
"Hilton","HH71",138,41,"overhang","29","Hyacinthus",0.67475,0.0386666666666667,0.00874153029233738,179
"Hilton","HH71",138,41,"overhang","36","Hyacinthus",0.61025,0.0806666666666667,0.020905153980848,179
"Hilton","HH72",75,72,"crevice","29","Hyacinthus",0.6925,0.00966666666666671,0.00211913679141785,147
"Hilton","HH72",75,72,"crevice","36","Hyacinthus",0.4785,0.126333333333333,0.0294971750059787,147
"Hilton","HH73",123,24,"open","29","Hyacinthus",0.6775,0.0413333333333333,0.00882913946563898,147
"Hilton","HH73",123,24,"open","36","Hyacinthus",0.112166666666667,0.137333333333333,0.0323389170436419,147
"Hilton","HR01",123,56,"sheltered","29","Retusa",0.697416666666667,0.022,0.00510333043036422,179
"Hilton","HR01",123,56,"sheltered","36","Retusa",0.350416666666667,0.151,0.0323403128205856,179
"Hilton","HR02",138,49,"sheltered","36","Retusa",0.31475,0.295,0.0717906388976539,187
"Hilton","HR02",138,49,"sheltered","29","Retusa",0.67975,0.0329999999999999,0.00720644644539666,187
"Hilton","HR03",61,63,"open","36","Retusa",0.5885,0.0649999999999999,0.0142260194583597,124
"Hilton","HR03",61,63,"open","29","Retusa",0.680833333333333,0.0239999999999999,0.00525727009852915,124
"Hilton","HR04",104,66,"open","29","Retusa",0.715416666666667,0.0303333333333333,0.00749984567742464,170
"Hilton","HR04",104,66,"open","36","Retusa",0.285416666666667,0.089,0.0188165485676837,170
"Jet Ski","JH01",99,58,"open","29","Hyacinthus",0.695583333333333,0.0196666666666666,0.00419959213187113,157
"Jet Ski","JH01",99,58,"open","36","Hyacinthus",0.26125,0.0206666666666667,0.00477915031964656,157
"Jet Ski","JH02",71,73,"open","29","Hyacinthus",0.698333333333333,0.00633333333333341,0.00145932505961821,144
"Jet Ski","JH02",71,73,"open","36","Hyacinthus",0.306,0.0793333333333334,0.0164136348018167,144
"Jet Ski","JH03",70,71,"open","29","Hyacinthus",0.654833333333333,0.016,0.00334580998331413,141
"Jet Ski","JH03",70,71,"open","36","Hyacinthus",0.46125,0.147333333333333,0.0334717611770922,141
"Jet Ski","JH04",83,65,"open","36","Hyacinthus",0.35025,0.0863333333333333,0.0180407845563159,148
"Jet Ski","JH04",83,65,"open","29","Hyacinthus",0.6245,0.0156666666666666,0.00323321878376698,148
"Jet Ski","JH05",76,70,"open","29","Hyacinthus",0.696166666666667,0.0079999999999999,0.00221735578260832,146
"Jet Ski","JH05",76,70,"open","36","Hyacinthus",0.217833333333333,0.348333333333333,0.0792130858063424,146
"Jet Ski","JH06",88,75,"sheltered","29","Hyacinthus",0.674583333333333,0.015,0.00332881638401978,163
"Jet Ski","JH06",88,75,"sheltered","36","Hyacinthus",0.407833333333333,0.0706666666666667,0.0158847119606896,163
"Jet Ski","JH07",72,92,"exposed","29","Hyacinthus",0.682416666666667,0.012,0.00277012835643244,164
"Jet Ski","JH07",72,92,"exposed","36","Hyacinthus",0.58125,0.0703333333333332,0.0168629415078241,164
"Jet Ski","JH08",101,33,"open","29","Hyacinthus",0.695916666666667,0.0286666666666666,0.00600828902742178,134
"Jet Ski","JH08",101,33,"open","36","Hyacinthus",0.523166666666667,0.145666666666667,0.0327771657193326,134
"Jet Ski","JH09",60,67,"open","29","Hyacinthus",0.685416666666667,0.0136666666666667,0.00307732146637421,127
"Jet Ski","JH09",60,67,"open","36","Hyacinthus",0.515916666666667,0.183666666666667,0.0426387441184658,127
"Jet Ski","JH10",124,56,"open","36","Hyacinthus",0.3305,0.021,0.00478132942926035,180
"Jet Ski","JH10",124,56,"open","29","Hyacinthus",0.6765,0.0203333333333333,0.00532725347901051,180
"Jet Ski","JH11",40,103,"open","29","Hyacinthus",0.646583333333333,0.00900000000000001,0.00216185362851214,143
"Jet Ski","JH11",40,103,"open","36","Hyacinthus",0.245083333333333,0.270333333333333,0.0655927919199347,143
"Jet Ski","JH12",55,82,"sheltered","36","Hyacinthus",0.3455,0.146333333333333,0.0300100291877874,137
"Jet Ski","JH12",55,82,"sheltered","29","Hyacinthus",0.703333333333333,0.0323333333333332,0.00701717469789234,137
"Jet Ski","JH13",57,88,"crevice","29","Hyacinthus",0.675583333333333,0.0293333333333333,0.00631631485387907,145
"Jet Ski","JH13",57,88,"crevice","36","Hyacinthus",0.573333333333333,0.027,0.00590197706987527,145
"Jet Ski","JH14",122,15,"overhang","29","Hyacinthus",0.660833333333333,0.0206666666666667,0.00438325939946098,137
"Jet Ski","JH14",122,15,"overhang","36","Hyacinthus",0.666666666666667,0.0333333333333333,0.00813542778132688,137
"Jet Ski","JH15",82,58,"crevice","36","Hyacinthus",0.35675,0.0516666666666666,0.0122801970969826,140
"Jet Ski","JH15",82,58,"crevice","29","Hyacinthus",0.674666666666667,0.0126666666666667,0.00266319218093487,140
"Jet Ski","JH16",100,41,"other","29","Hyacinthus",0.685833333333333,0.052,0.0107052254461012,141
"Jet Ski","JH16",100,41,"other","36","Hyacinthus",0.58425,0.0516666666666666,0.0115721368749186,141
"Jet Ski","JH17",115,39,"overhang","29","Hyacinthus",0.694166666666667,0.0376666666666666,0.00824901789889537,154
"Jet Ski","JH17",115,39,"overhang","36","Hyacinthus",0.302083333333333,0.523,0.119116374391383,154
"Jet Ski","JH18",144,45,"overhang","29","Hyacinthus",0.708166666666667,0.0363333333333333,0.00799363172457601,189
"Jet Ski","JH18",144,45,"overhang","36","Hyacinthus",0.3265,0.154333333333333,0.0345437189445276,189
"Jet Ski","JH19",98,96,"exposed","36","Hyacinthus",0.5325,0.087,0.0214002855640345,194
"Jet Ski","JH19",98,96,"exposed","29","Hyacinthus",0.678333333333333,0.0566666666666666,0.0131740485635797,194
"Jet Ski","JH20",177,10,"overhang","29","Hyacinthus",0.681166666666667,0.0393333333333333,0.00902927338038769,187
"Jet Ski","JH20",177,10,"overhang","36","Hyacinthus",0.417166666666667,0.107,0.0253466704658364,187
"Jet Ski","JH21",66,118,"exposed","29","Hyacinthus",0.695083333333333,0.0453333333333333,0.0104831213545076,184
"Jet Ski","JH21",66,118,"exposed","36","Hyacinthus",0.117416666666667,0.298,0.0725297352814692,184
"Jet Ski","JH22",112,83,"open","36","Hyacinthus",0.425666666666667,0.136666666666667,0.0382223029714909,195
"Jet Ski","JH22",112,83,"open","29","Hyacinthus",0.69125,0.037,0.00874047100180153,195
"Jet Ski","JH23",71,70,"overhang","29","Hyacinthus",0.681,0.0383333333333333,0.00805191488612078,141
"Jet Ski","JH23",71,70,"overhang","36","Hyacinthus",0.25725,0.0606666666666666,0.0149749018422554,141
"Jet Ski","JH24",62,120,"exposed","36","Hyacinthus",0,0,0,182
