nth,trial,coll.date,site,baggie,colony.id,gps.device,gps.wp,lat,long,depth.below,height.above,camera,habitat,TH.imaging,img.start,img.stop,file.start,file.stop,all.images,filt.images,orientation,notes
011,02,2023-05-05,Jet Ski,4,JR01,64sx,014,17.47659,149.78767,120,33,1,open,yes,5151,5612,,,,,,
012,02,2023-05-05,Jet Ski,5,JR02,64sx,015,17.47637,149.78749,89,98,1,sheltered,yes,5620,6107,,,,,,
013,02,2023-05-05,Jet Ski,6,JH11,64sx,016,17.47617,149.78728,40,103,1,open,yes,6108,6625,,,,,,
014,02,2023-05-05,Jet Ski,7,JH12,64sx,017,17.47621,149.78717,55,82,1,sheltered,yes,6626,7160,,,,,,
015,03,2023-05-06,Hilton,1,HH01,64sx,018,17.47831,149.84335,84,107,1,open,yes,7184,7555,,,,,,
016,03,2023-05-06,Hilton,2,HH02,64sx,019,17.47970,149.84282,154,59,1,overhang,yes,7564,8080,,,,,,
017,03,2023-05-06,Hilton,3,HH03,64sx,020,17.47989,149.84285,117,70,1,,yes,8083,8608,,,,,,logger
018,03,2023-05-06,Hilton,4,HH04,64sx,021,17.48050,149.84277,114,29,1,sheltered,yes,8613,9090,,,,,,
019,03,2023-05-06,Hilton,5,HR01,64sx,022,17.48050,149.84248,123,56,1,sheltered,yes,9094,9619,,,,,,
020,03,2023-05-06,Hilton,6,HH05,64sx,023,17.48048,149.84276,82,104,1,exposed,yes,9622,10113,,,,,,
021,03,2023-05-06,Hilton,7,HH06,64sx,024,17.48022,149.84285,95,82,1,open,yes,10114,10627,,,,,,
022,03,2023-05-06,Hilton,8,HR02,64sx,025,17.48013,149.84323,138,49,1,sheltered,yes,10637,,,,,,,
023,04,2023-05-08,Jet Ski,1,JH13,64sx,026,17.47626,149.78720,57,88,1,crevice,yes,11006,11509,,,,,,
024,04,2023-05-08,Jet Ski,2,JH14,64sx,027,17.47624,149.78726,122,15,1,overhang,no,11510,11515,,,,,,over sandy bottom
025,04,2023-05-08,Jet Ski,3,JH15,64sx,028,17.47623,149.78728,82,58,1,crevice,no,11516,11537,,,,,,
026,04,2023-05-08,Jet Ski,4,JH16,64sx,029,17.47627,149.78726,100,41,1,open/exposed?,no,11538,11550,,,,,,open but wide perimeter of cover
027,04,2023-05-08,Jet Ski,5,JH17,64sx,030,17.47628,149.78725,115,39,1,overhang,yes,11551,12103,,,,,,
028,04,2023-05-08,Jet Ski,6,JH18,64sx,032,17.47611,149.78738,144,45,1,overhang,no,12104,12117,,,,,,
029,04,2023-05-08,Jet Ski,7,JH19,64sx,033,17.47585,149.78699,98,96,1,exposed,yes,12118,12640,,,,,,
030,04,2023-05-08,Jet Ski,8,JH20,64sx,034,17.47575,149.78694,177,10,1,overhang,yes,12666,13156,,,,,,
